,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Udham Singh Nagar,5,67,0,14,1,2,5,3,8,10,15,19,31,36,42,48,57,69,81,100,137,137,145,143,169,201,212,256,241,257,299,287,331,352,435,500,540,503,575,541,544,569,525,454,451,386,341,306,276,242,217,191,166,170,116,99,106,89,83,65,56,46,56,47,34,32,26,27,30,14,29,6,7,29
Murshidabad,19,333,0,9,4,2,1,3,2,2,6,11,9,18,12,24,27,43,41,60,92,136,207,299,445,581,738,1001,1235,1435,1520,1596,1628,1579,1488,1353,1229,1033,890,764,640,517,437,394,343,250,208,159,136,98,88,75,69,60,53,59,50,28,43,27,27,26,19,30,18,23,15,18,8,8,14,5,5,20
Ludhiana,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,30,94,230,372,533,784,920,1064,997,957,979,932,846,786,758,666,600,528,498,376,354,347,283,277,207,169,169,135,128,136,112,113,96,104,91,86,79,83,80,53,55,66,64,79,65,72,69,78,127
Dimapur,13,265,0,16,11,8,7,9,6,5,12,15,15,17,29,46,34,66,54,86,99,113,150,165,191,208,191,198,199,171,137,144,106,95,85,66,71,52,38,34,31,43,28,39,34,33,37,26,31,33,39,41,44,58,40,31,18,14,12,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0
Y.s.r.,28,551,0,2290,288,303,380,456,478,554,633,697,832,974,1063,1276,1524,1709,1953,2341,2615,2719,2919,3080,3246,2997,2881,2609,2445,2159,1906,1566,1368,1220,1064,994,809,729,643,550,462,399,345,321,237,229,201,139,139,117,110,97,90,71,66,64,56,55,42,35,31,27,25,24,25,24,13,15,5,2,5,3,2,5
Bilaspur,2,30,0,0,0,0,0,1,0,0,1,1,1,0,2,3,8,14,15,43,53,64,98,130,168,215,275,307,332,377,408,418,402,361,331,275,225,161,114,97,66,67,53,55,44,38,38,22,28,23,11,14,12,17,12,5,9,13,8,11,1,2,11,8,3,3,2,1,1,3,0,0,2,7
Aurangabad,27,515,0,435,72,79,77,120,144,166,193,251,292,389,463,573,724,879,1158,1354,1538,1867,2137,2304,2500,2451,2530,2399,2224,1921,1745,1551,1315,1172,1012,858,731,669,579,448,408,353,313,304,232,179,172,139,140,123,111,105,88,88,46,65,66,60,51,52,46,44,55,39,34,42,40,45,42,34,39,61,41,65
North,11,241,0,118,19,23,28,30,21,30,60,61,96,111,127,212,270,366,508,638,839,1159,1454,1816,1937,2109,1810,1530,1092,771,462,335,240,172,96,101,63,36,27,24,17,10,5,11,10,9,3,5,2,2,4,5,2,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Kabeerdham,22,407,0,435,81,65,98,76,123,140,167,222,249,329,330,397,480,504,526,618,569,527,538,528,489,547,558,527,556,577,669,675,675,628,615,575,481,429,381,352,352,320,265,270,206,205,157,116,88,86,61,58,31,22,14,16,12,5,5,5,6,2,6,3,2,0,2,0,0,0,0,0,0,0
Barpeta,18,303,0,194,24,40,44,59,65,87,94,126,175,190,246,294,375,438,536,591,658,662,659,643,635,553,502,458,415,336,254,179,150,111,90,53,56,21,18,24,25,12,13,18,7,2,4,2,1,3,1,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Banswara,8,125,0,9,5,5,3,3,10,10,20,24,30,55,68,93,138,177,254,314,404,538,609,674,816,852,945,988,1084,1076,1052,1080,1057,1053,1015,959,813,784,592,488,387,299,201,131,109,88,74,44,34,26,19,25,25,18,17,10,10,7,13,10,17,10,12,13,7,4,13,5,2,5,3,4,0,6
