,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Punch,1,5,0,0,0,0,0,0,0,0,0,0,0,70,2661,1807,766,650,672,657,601,559,514,439,347,308,262,224,157,160,121,74,80,56,53,49,44,27,22,16,20,11,7,12,10,6,7,6,6,2,3,6,2,1,5,4,3,2,1,1,1,2,1,3,1,1,0,1,1,1,0,0,1,2,1,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0
Jhunjhunun,8,103,0,0,0,0,0,0,0,0,0,0,0,0,17,1820,2975,3207,3134,2722,2315,1863,1466,1092,863,752,595,464,412,348,303,268,195,189,147,145,131,133,115,65,88,72,77,63,43,49,53,31,35,35,39,35,31,27,23,31,20,16,18,11,14,16,12,17,10,14,16,12,11,12,9,9,9,8,6,8,3,5,2,5,6,6,6,6,4,8,3,4,2,3,2,5,2,2,2,2,2,7,2,4,5,4,4
West Tripura,16,289,0,0,0,0,0,0,0,0,0,0,26,1036,1591,1225,908,906,732,724,618,542,440,372,341,300,286,221,203,189,166,151,146,126,95,88,85,81,73,65,52,56,48,41,53,43,30,42,51,35,36,44,39,19,38,35,25,16,29,21,23,17,22,17,18,14,11,30,9,17,11,17,8,8,13,11,10,6,8,10,11,8,7,12,9,4,13,9,4,6,5,7,1,3,1,3,6,4,13,6,6,4,5
Central,7,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilibhit,9,151,0,0,0,0,0,0,0,0,0,0,0,467,6763,4846,1914,873,461,273,160,103,88,69,48,27,30,17,11,15,12,10,14,12,7,8,1,7,6,10,6,4,6,5,9,3,4,4,4,5,2,1,5,4,1,1,3,1,0,2,3,2,2,3,3,5,2,1,2,0,4,2,1,0,2,1,2,1,2,0,1,0,1,0,2,1,2,1,0,0,2,0,0,1,0,2,0,0,0,1,0,1,1
Thane,27,517,0,0,0,0,0,0,0,0,0,0,274,7659,8028,5329,3456,2185,1672,1190,909,755,590,474,418,394,332,263,337,258,256,210,192,199,182,171,161,155,141,154,109,129,100,94,98,90,92,76,70,85,94,70,59,55,65,67,59,48,48,53,44,36,46,43,50,32,27,46,34,23,35,32,35,26,26,21,28,16,23,20,27,28,25,23,19,23,17,23,16,13,19,23,16,21,20,13,18,13,16,15,10,18,17
Ballia,9,193,0,0,0,0,0,0,0,0,0,0,1,489,3406,2336,1888,1427,1072,739,489,331,271,163,138,103,60,62,39,37,38,37,35,23,16,12,10,11,3,8,8,8,10,11,5,3,3,5,4,6,4,7,2,5,3,5,2,6,0,1,0,4,0,1,4,0,1,3,1,2,0,2,0,3,1,2,0,0,0,4,1,0,0,2,1,0,0,0,0,2,2,0,1,3,0,2,1,2,2,0,0,1,0
East Kameng,12,247,0,0,0,0,0,0,0,0,0,0,189,14972,11340,577,21,13,7,11,7,2,0,4,4,2,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tirap,12,254,0,0,0,0,0,0,0,0,0,0,227,6503,2071,166,57,25,18,14,3,8,6,8,3,7,2,4,2,3,1,1,0,0,0,0,1,4,2,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhamtari,22,412,0,0,0,0,0,0,0,0,0,0,931,7839,2276,2117,855,573,422,400,306,214,183,170,145,127,99,97,68,61,69,37,37,46,37,22,32,20,21,20,23,22,16,10,6,5,7,5,3,5,3,0,4,4,4,3,3,2,2,2,1,3,2,1,6,3,0,1,0,1,2,1,1,0,1,1,1,1,0,1,2,2,3,2,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,1,0,0,2
North 24 Parganas,19,337,0,0,0,0,0,0,0,0,0,7,3290,5341,1441,1099,1382,1505,1402,1219,946,709,665,516,390,351,282,298,254,196,160,175,149,139,99,91,88,86,87,75,64,52,62,48,44,43,56,48,28,39,34,39,29,28,31,26,42,30,29,33,15,18,17,18,31,22,23,18,18,25,15,11,8,16,19,12,14,13,6,15,7,10,10,18,11,10,14,5,8,9,8,5,10,5,7,10,5,7,11,7,3,5,6
Tarn Taran,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124,231,306,568,753,912,958,909,757,599,550,443,364,323,258,228,181,170,169,147,121,113,108,100,97,99,91,62,84,59,57,60,56,58,50,48,42,36,35,40,31,36,35,27,29,25,21,24,25,33,25,14,13,21,20,20,22,13,14,11,8,16,12,9,15,10,11,10,6,5,11,3,9,6,5,6,9,9,15,5,10,3,5,3,3,7,3
Kamrup,18,321,0,0,0,0,0,0,0,0,0,0,6,1318,2591,1694,1676,1417,1004,737,495,369,271,219,148,125,118,92,60,52,55,39,34,31,18,22,27,19,23,17,16,14,14,15,10,17,12,7,6,11,10,9,2,6,5,8,12,5,9,3,4,5,5,4,3,2,5,2,4,3,3,2,4,2,3,5,2,1,3,2,1,0,2,0,1,4,1,2,1,1,1,1,2,1,1,0,1,0,2,0,1,1,0
Dibrugarh,18,310,0,0,0,0,0,0,0,0,0,0,5,1190,2869,2333,1643,1194,927,726,536,515,349,299,264,237,185,150,135,131,110,94,79,61,68,92,43,65,62,46,42,47,36,30,27,26,32,26,20,24,19,16,13,10,18,11,5,20,18,13,17,12,4,10,6,10,9,8,6,8,9,3,5,4,7,3,4,4,7,6,6,6,4,7,6,3,4,2,4,7,4,3,2,3,3,4,3,3,4,0,2,4,1
Ghaziabad,9,140,0,0,0,0,0,0,0,0,0,0,0,0,11,129,621,1055,846,624,452,434,347,295,281,269,215,199,183,152,131,120,87,101,93,83,74,66,54,68,51,49,56,43,36,40,34,34,25,25,42,25,32,27,22,32,24,23,27,27,18,22,13,15,22,19,30,18,23,16,14,12,10,14,10,17,5,16,10,13,9,14,4,12,9,11,9,13,10,10,10,5,8,6,10,15,8,9,7,10,6,8,5
Kachchh,24,468,0,0,0,0,0,0,3,3,20,166,2770,101711,44112,9860,5508,3235,2243,1511,1095,959,792,703,527,489,399,341,293,266,257,211,192,198,179,124,129,120,110,99,99,81,90,73,78,64,61,57,49,51,62,47,58,49,51,43,39,37,30,29,44,30,35,34,30,25,14,25,28,20,21,21,22,37,21,30,15,15,33,19,16,19,19,13,22,26,22,15,15,17,11,9,12,8,13,20,16,8,15,7,9,13,6
Firozabad,9,147,0,0,0,0,0,0,0,0,0,0,0,0,254,1408,1764,1473,1156,910,707,528,402,315,259,155,143,116,104,77,81,63,59,51,41,51,33,43,26,26,27,27,23,19,21,17,16,15,14,11,8,12,7,8,11,10,6,11,8,3,11,9,5,9,5,8,2,3,2,5,6,8,4,4,3,6,7,3,7,5,1,1,3,5,5,4,4,1,2,2,4,1,1,4,4,3,1,2,0,1,2,0,1
Arwal,10,240,0,0,0,0,0,0,0,0,0,0,0,396,1710,457,167,85,51,23,16,11,4,3,1,1,3,3,5,3,2,0,0,1,3,1,0,1,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinnaur,2,34,0,0,0,0,0,0,0,0,0,7,5,138,16194,10113,2293,741,257,126,85,40,28,17,23,20,19,12,21,8,9,4,6,10,7,9,8,6,4,2,7,6,2,2,6,5,6,3,2,1,3,5,2,5,2,2,4,3,0,3,2,2,0,2,0,1,0,1,0,1,0,0,0,2,1,4,1,1,2,2,2,1,1,1,0,0,0,0,2,0,2,1,1,1,1,0,0,2,2,0,0,1,0
