distName,st_cen_cd,censuscode,SOL_14,SOL_15,SOL_16,SOL_17,SOL_18
Bilaspur,22,406,52196.734,48449.438,44200.594,53353.14,50628.965
Aurangabad,10,235,9946.807,13273.263,11814.33,17266.21,21161.762
North,7,91,10234.61,12438.268,9748.801,10626.6,10830.811
Kabeerdham,22,407,13129.882,13329.851,10978.157,16674.65,12980.551
Barpeta,18,303,4309.9126,5077.788,3521.9353,4849.7197,5186.73
Banswara,8,125,10712.265,12424.831,6380.842,10146.66,11823.65
Rudraprayag,5,58,3504.2998,3546.075,1901.5475,3250.64,2951.23
Erode,33,610,11377.846,16004.941,13699.47,18559.13,18452.85
Nagpur,27,505,61408.992,60302.957,56318.52,66236.17,56999.64
Gopalganj,10,217,4490.0127,7749.223,7509.045,13489.899,16360.07
Haveri,29,564,8251.328,9087.2295,8210.143,12542.7295,13446.139
Puducherry,34,635,5599.7944,5524.685,7373.377,6561.32,6290.02
Amreli,24,480,18560.805,20825.1,15522.964,24043.33,24163.62
Lahul & Spiti,2,25,25829.367,19123.145,7227.1436,20426.34,17494.57
Jorhat,18,312,6361.113,6607.04,5094.8354,7033.2197,7129.4297
Chhatarpur,23,425,17298.834,22552.055,19838.64,26861.61,29573.52
Osmanabad,27,525,9276.118,12372.809,7458.9995,14772.38,16984.66
Udhampur,1,19,9732.279,8207.333,7568.3076,9130.25,8451.83
Chandrapur,27,509,23435.434,24626.14,17715.14,29027.371,26499.549
Mandya,29,573,11258.916,14779.518,13933.422,17714.41,19322.96
South Garo Hills,17,295,2051.363,2150.9653,1055.1783,2616.1501,2093.5303
Sahibzada Ajit Singh Nagar,3,52,19648.398,22550.34,19260.738,21052.922,25543.5
Lunglei,15,286,1003.65045,1819.2617,-880.2818,2840.71,2147.75
Lalitpur,9,167,9440.746,11153.27,11532.239,14038.889,13144.23
Chandel,14,280,1007.8733,1265.2759,445.8474,3601.46,3260.0498
Ganderbal,1,11,2086.1992,1478.4736,1036.4543,2438.6602,1567.1799
Rupnagar,3,51,8274.947,9007.53,7584.8184,8483.13,9112.561
