,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Idukki,32,596,0,0,0,0,0,0,0,0,0,3,815,7085,8191,2824,729,285,148,81,70,35,34,20,13,12,18,10,9,6,10,7,2,6,6,3,2,5,0,1,1,0,1,1,0,2,2,0,1,1,0,1,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jalpaiguri,19,328,0,0,0,0,0,0,0,0,0,0,23,1468,6018,7160,4881,2874,1569,990,576,401,310,207,174,133,114,102,86,75,58,40,55,31,46,33,36,27,34,40,25,23,21,19,17,15,15,8,4,10,5,6,9,10,3,6,1,3,11,5,5,4,5,3,5,4,3,1,2,3,4,3,3,4,2,3,2,2,3,5,8,5,3,4,3,4,0,1,2,4,4,2,4,3,4,4,3,2,3,2,1,3,1
Anjaw,12,260,0,0,0,0,0,0,0,0,53,529,4937,14693,8745,628,26,8,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shahdol,23,460,0,0,0,0,0,0,0,0,0,0,0,536,10356,5742,2816,1620,1013,693,468,321,213,146,116,100,73,72,61,41,21,33,34,19,22,15,16,30,19,16,11,14,9,15,10,11,4,7,8,8,5,2,8,5,5,4,5,3,3,8,7,4,4,1,2,4,3,2,3,4,3,3,2,2,7,5,4,2,1,3,3,1,1,1,3,6,1,2,1,2,1,2,3,1,1,3,0,2,3,2,2,2,1
Bargarh,21,370,0,0,0,0,0,0,0,0,0,0,0,246,6074,6593,3557,2242,1425,1002,676,511,362,299,232,199,161,119,118,90,91,65,73,58,68,47,34,36,31,28,34,32,21,25,27,24,17,24,17,15,21,14,6,4,17,11,14,14,6,5,5,4,5,9,8,7,10,5,5,5,7,10,7,4,0,4,1,3,6,5,2,2,2,2,2,2,1,0,1,0,2,2,0,4,0,1,0,2,1,0,1,2,4
East Khasi Hills,17,298,0,0,0,0,0,0,0,0,0,0,39,3458,4556,1442,730,453,322,246,183,127,97,71,75,43,60,30,26,33,20,27,11,20,11,21,17,10,9,15,8,8,9,7,13,8,11,9,7,8,6,4,7,7,4,4,4,2,7,6,3,3,6,2,2,9,6,5,5,5,4,4,4,3,2,4,2,3,0,2,9,3,2,0,2,3,3,1,1,2,3,1,1,1,1,2,1,0,0,0,2,1,0
Bhiwani,6,81,0,0,0,0,0,0,0,0,0,0,0,24,1346,3453,3935,2872,1950,1232,881,670,513,414,332,298,251,205,176,176,163,128,135,113,104,93,90,76,60,67,82,65,53,44,50,44,49,47,40,42,40,36,28,25,30,24,27,22,20,18,22,17,19,20,22,15,16,12,22,9,11,9,12,12,10,9,9,6,10,9,6,4,7,8,10,9,7,7,6,4,3,9,2,4,8,6,3,5,5,2,3,3,6
Navsari,24,490,0,0,0,0,0,0,0,0,0,0,0,2,659,1619,1911,1622,1072,694,449,282,164,159,103,88,67,49,61,48,41,25,28,23,30,23,16,16,14,14,17,10,16,12,15,7,13,7,3,7,7,5,10,3,8,6,4,3,8,4,2,6,3,3,7,8,8,4,4,5,9,3,3,2,2,4,3,1,1,3,3,2,1,1,4,2,3,2,2,1,1,0,0,0,0,0,1,2,0,1,0,0,2
Bastar,22,414,0,0,0,0,0,0,0,0,0,0,0,2609,20079,9950,4071,2073,1249,805,569,460,356,285,225,199,165,131,96,85,70,56,46,44,38,29,36,33,30,22,15,20,12,13,12,9,17,8,8,10,4,10,13,2,9,8,3,8,4,4,3,0,2,1,1,3,4,1,0,1,0,3,4,2,2,5,1,3,1,2,0,3,0,2,1,0,2,0,1,1,1,0,2,1,0,2,3,2,0,1,0,0,0
Barmer,8,115,0,0,0,0,0,0,0,0,0,0,1,20226,70211,18691,6651,3076,1767,1137,734,551,424,325,259,213,186,162,138,143,126,104,93,92,64,69,68,61,61,56,68,35,51,35,37,42,32,30,25,16,19,20,18,19,19,21,18,17,8,11,12,13,17,6,9,16,6,5,15,2,8,5,5,10,12,5,6,11,7,6,5,7,10,6,7,4,4,1,4,0,6,6,4,4,3,1,8,3,4,4,3,3,6
Lohardaga,20,356,0,0,0,0,0,0,0,0,0,0,0,25,1067,1526,1146,726,508,336,256,196,123,108,79,51,43,45,26,19,18,29,17,15,10,8,12,13,6,5,9,6,4,13,2,7,10,4,2,4,3,7,5,2,3,3,4,0,6,3,1,2,0,2,1,1,1,3,2,1,0,1,1,2,0,1,1,2,1,2,0,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Kota,8,127,0,0,0,0,0,0,0,0,0,0,0,2,1119,4021,2897,2432,1827,1466,1229,996,847,658,566,520,453,369,309,298,255,212,199,170,157,141,153,141,121,101,93,91,83,80,79,67,52,72,48,46,57,54,51,45,46,44,48,40,38,26,39,34,26,32,41,24,21,28,26,25,25,18,15,28,25,21,18,18,17,19,21,11,22,16,13,11,10,13,17,14,10,13,19,10,11,13,10,11,10,15,10,12,10
Sirsa,6,79,0,0,0,0,0,0,0,0,0,0,0,22,1980,4756,3885,2225,1285,859,626,472,364,306,286,249,211,168,144,123,123,107,78,99,80,69,56,65,48,51,51,33,27,44,31,29,31,12,21,17,16,19,16,16,15,11,13,18,10,10,7,7,11,9,2,4,10,8,6,7,0,5,3,9,8,5,7,8,7,7,5,2,7,3,8,2,4,1,0,6,1,1,1,1,2,3,4,4,1,2,3,2,2
Gaya,10,236,0,0,0,0,0,0,0,0,0,0,0,581,5739,4988,2803,1808,1227,942,694,501,409,287,251,213,152,145,100,92,72,62,53,63,54,35,42,33,19,25,23,20,20,18,14,18,13,15,16,8,13,12,6,12,6,11,6,10,10,6,8,6,8,3,6,7,7,4,0,5,4,2,1,5,6,5,5,3,4,11,3,2,2,0,2,5,2,4,6,5,5,1,0,1,4,1,8,4,3,2,2,4,4
Diu,25,494,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,10,12,5,3,1,3,2,3,3,6,3,4,3,3,1,3,6,2,2,1,3,5,2,1,2,2,2,2,1,1,1,2,3,0,3,1,1,1,3,0,2,0,2,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0
Dima Hasao,18,315,0,0,0,0,0,0,0,0,0,0,201,7783,7772,2352,950,551,372,274,207,173,131,96,74,70,59,37,55,54,47,27,33,34,18,22,22,15,24,10,13,13,10,19,7,11,11,10,10,12,9,14,14,5,3,4,5,2,8,5,5,2,4,1,1,2,5,1,3,4,4,0,2,2,2,2,3,6,3,2,3,3,3,2,1,2,0,4,2,0,0,1,0,1,1,1,1,1,0,1,1,0,5
Dadra & Nagar Haveli,26,496,0,0,0,0,0,0,0,0,0,0,0,0,2,14,92,83,110,114,58,89,63,66,65,62,51,53,44,38,52,35,34,33,33,30,27,31,31,34,27,25,27,24,21,24,10,20,10,9,16,11,15,13,13,7,10,7,12,13,8,14,7,5,10,7,3,8,4,6,9,6,6,3,5,3,7,6,4,4,3,5,7,1,7,5,3,6,12,12,5,4,6,6,3,3,2,8,5,5,4,3,4
